NA_index,news_articles,news_titles,news_ids
0,"De GGD Groningen is een onderzoek begonnen naar mogelijke misstanden op een zorgboerderij in het Groningse dorp Holwierde. Dat bevestigt een woordvoerder naar aanleiding van berichtgeving van RTV Noord. Volgens de regionale zender is er op de zorgboerderij onder meer sprake van seksuele intimidatie en heerst er een angstcultuur.  ""In opdracht van de gemeente zijn we een onderzoek begonnen"", aldus een woordvoerder van de GGD. Een woordvoerder van de gemeente Eemsdelta, waar Holwierde onder valt, meldt dat er bepaalde signalen zijn binnengekomen die de aanleiding vormden voor een onderzoek. Over de inhoud van de signalen of het onderzoek kunnen de woordvoerders geen verdere mededelingen doen.  Het onderzoek richt zich volgens de gemeente op een van de twee locaties van de zorgboerderij, waar een woonplek en dagopvang wordt geboden aan jongeren, ouderen en volwassenen.  Een aantal medewerkers vertelt anoniem aan RTV Noord dat er een gevoel van onveiligheid hangt op de boerderij. Zo zouden medewerkers dag en nacht met camera's worden gevolgd, worden er seksueel ongepaste opmerkingen gemaakt en kreeg een vrouwelijke medewerker als kerstpakket een pakket met dildo's en andere seksartikelen. De eigenaar ontkent de beschuldigingen tegenover RTV Noord. ",GGD onderzoekt mogelijke misstanden op zorgboerderij in Holwierde,df77c7a4c90bf8a226bc7c3e9dd74ca0
1,"Het kabinet doet nog steeds te weinig om een kringloopeconomie te realiseren. Het Planbureau voor de Leefomgeving (PBL) stelt in een rapport dat hier de afgelopen jaren ""nauwelijks vooruitgang"" in is geboekt. Maatregelen zijn vooral gericht op de goede wil van bedrijven en de samenleving, maar strenger beleid is volgens het planbureau nodig om zuiniger om te gaan met grondstoffen. Het gaat dan bijvoorbeeld om olie, metalen en mineralen. Het gebruik daarvan kan onder meer worden verminderd door invoering van een verplicht aandeel hergebruikte materialen in nieuwe producten, stelt het PBL voor.  Het planbureau overhandigt dit rapport donderdagmiddag aan staatssecretaris Vivianne Heijnen van Infrastructuur en Waterstaat. Binnen het kabinet is zij verantwoordelijk voor de overgang naar een circulaire economie. Dit is een economie waarin grondstoffen veel minder en efficiënter worden gebruikt, bijvoorbeeld door materialen te hergebruiken of over te stappen op biologische alternatieven. Door de oorlog in Oekraïne en de coronapandemie zijn grondstoffen minder beschikbaar dan voorgaande jaren. Dat maakt zuiniger gebruik extra dringend.  Twee keer eerder deed het PBL onderzoek naar hoever het kabinet is in de overgang naar een kringloopeconomie. In 2021 en 2019 kwamen onderzoekers met soortgelijke bevindingen als deze keer. De cijfers uit het nieuwste rapport komen uit 2020. Dat jaar was het grondstoffengebruik tijdelijk lager vanwege de coronamaatregelen. Zo zorgden reisbeperkingen ervoor dat vliegtuigen aan de grond bleven en er dus minder brandstof werd gebruikt. Het CBS becijferde donderdag dat in totaal zo'n 359 miljard kilo grondstoffen zijn gebruikt in 2020 om de Nederlandse economie te laten draaien.  Het kabinet wil dat Nederland in 2050 een volledig circulaire economie is. In 2030 moet het gebruik van nieuw gewonnen mineralen, metalen en fossiele grondstoffen als aardolie en aardgas zijn gehalveerd vergeleken met 2016. Volgens onderzoeker Frank Dietz is de overgang naar een kringloopeconomie momenteel ""niet ver genoeg"".  Het PBL wil dat het kabinet verplichte maatregelen invoert voor bedrijven en consumenten in plaats van vrijblijvende regelingen. Naast een verplicht aandeel hergebruikte materialen pleit het planbureau onder meer voor een belasting op het gebruik van fossiele grondstoffen. ""De problematiek is zo ingewikkeld dat we steeds moeten kijken wat maatregelen doen voor het milieu en wat het meest effectief is"", zegt Dietz. ",Planbureau ziet amper vooruitgang in kringloopeconomie,179d39aac328e75960598b18fa691b7c
2,"Hulpdiensten en vrijwilligers hebben op Terschelling de zoektocht gestaakt naar de nog vermiste 12-jarige jongen, die vorige maand na de aanvaring tussen een snelboot en watertaxi te water raakte. Dat laten onder meer de politie en de vrijwilligerszoekorganisatie Search &amp; Rescue Nederland (SAR) weten.  Eerder op zondag spoelde een na de aanvaring eveneens vermiste volwassen man aan op het strand van Terschelling. Het lichaam van deze 49-jarige man uit Heerenveen kwam terecht bij het Groene Strand op het Waddeneiland. Door het ongeval, dat op vrijdag 21 oktober vroeg in de ochtend gebeurde, overleden al een 46-jarige man uit Sexbierum en een 57-jarige man uit Leeuwarden.  De plek waar het lichaam zondag terechtkwam is vlakbij de vaargeul waar de aanvaring gebeurde, laat een woordvoerster van SAR Nederland weten. Eerder op zondag liet het team weten de zoektocht te hebben opgeschaald.  Zo'n twintig personen hebben namens SAR de hele dag naar het lichaam van de jongen gezocht met behulp van quads en met lopers langs de kustlijn van de oost- en westkant van het eiland. Ook werd een boot van de politie en de reddingsmaatschappij Koninklijke Nederlandse Redding Maatschappij (KNRM) ingezet.  De politie bekijkt maandag, zoals elke dag de laatste weken sinds de aanvaring, of er verder wordt gezocht. SAR Nederland zegt in overleg met de hulpdiensten te bekijken wat de organisatie verder kan doen. ""Het was een zware dag"", aldus de zegsvrouw, die ook spreekt van ""priemende regen"" en harde wind die de zoektocht zondag bemoeilijkte. Via een liveblog op de onlangs opgezette website Nationale Hulpverleningskrant, houdt SAR Nederland geïnteresseerden van de zoekactie op de hoogte. ",Zoektocht naar vermiste 12-jarige jongen Terschelling gestaakt,38eca44f01015ebd15baa3e54a605cb3
3,"Tijdens acht verschillende operaties in de Caribische Zee werd door de autoriteiten van Colombia, de Verenigde Staten en Nederland 9,7 ton cocaïne onderschept. De drugs hadden als bestemming de VS en Europa en hebben volgens Colombia een straatwaarde van 327 miljoen dollar (310 miljoen euro).  Volgens Colombiaanse media werd één lading van ruim 5 ton onderschept in de territoriale wateren van Aruba. De partij dobberde in het water en zou de Dominicaanse Republiek als bestemming hebben gehad, een overslagpunt voor cocaïne. Vier andere operaties hadden het gemunt op zogenoemde go-fast-motorboten. Vijftien personen van verschillende nationaliteiten werden aangehouden. Aan welke autoriteiten zij zijn overgedragen is voorlopig niet duidelijk.  In de Caraïben zijn veel instanties betrokken bij de opsporing van drugscriminaliteit, waaronder al jaren de Nederlandse Koninklijke Marine. Dit jaar werd door internationale samenwerking al 109 ton cocaïne onderschept, aldus de Colombiaanse autoriteiten. ","VS, Colombia en Nederland onderscheppen 9,7 ton cocaïne",a1ff91030c088b1b1ff35dfd6ef60352
4,"Het aantal diefstallen van motoren, bromfietsen en snorfietsen is dit jaar sterk gestegen. In de eerste zeven maanden van 2022 stalen dieven ruim een derde meer van deze tweewielers dan in dezelfde periode vorig jaar, meldt het Verbond van Verzekeraars.  In totaal werden van januari tot en met juli 7212 brom- en snorfietsen gestolen, bijna 1900 meer dan in dezelfde periode van 2021. Bij motoren steeg het aantal diefstallen met ruim 34 procent tot 983.  Volgens André Bouwman van het Landelijk Intelligence- en expertisecentrum Voertuigcriminaliteit (LIV) is het aantal diefstallen van brommers en snorfietsen na twee coronajaren min of meer teruggeveerd naar het gemiddelde van de afgelopen zes jaar. Anders is dat bij het aantal motordiefstallen. Ook vergeleken met de jaren voor corona zijn veel meer motoren gestolen.  Bouwman weet niet precies waarom dieven vaker brommers of motoren buitmaken. Mogelijk heeft het te maken met een gebrek aan parkeerruimte voor auto's in grote steden, waar de dieven het vaakst toeslaan. Daardoor zijn ze mogelijk in populariteit gestegen. ""Daarnaast kunnen ook de gestegen brandstofprijzen een rol spelen. Kortom, er kunnen verschillende factoren de oorzaak zijn van de diefstalstijging."" ","Vaker brommers, snorfietsen en motoren gestolen",74e073156c643e9b8d48c23076e2eafa
5,"Het Nederlandse zoek- en reddingsteam USAR heeft zijn basiskamp opgezet vlak bij de Turkse stad Hatay, meldt Defensie. Dat dient de komende dagen als uitvalsbasis voor de 65 personen en acht hulphonden. Verkenners brengen in kaart waar het team kan helpen. Volgens Defensie is op luchtbeelden van Hatay te zien dat complete appartementencomplexen zijn ingestort.  Het basiskamp fungeert als slaapplek voor de hulpverleners en de honden. Ook staan er een medische tent en een commandotent om de reddingsoperatie aan te sturen.  USAR vertrok maandagavond vanaf vliegveld Eindhoven naar de Turkse stad Adana. Het team bestaat uit medewerkers van de politie, brandweer, ambulancediensten en Defensie die hiervoor speciaal zijn getraind. De vier reddingsgroepen werken 24 uur per dag, zeven dagen in de week in wisselende diensten. In de regio Hatay zitten meerdere reddingsteams uit verschillende landen.  Het zuidoosten van Turkije kreeg maandagochtend vroeg te maken met een beving met een kracht van 7.8. Het epicentrum lag 26 kilometer ten noordwesten van de stad Gaziantep, niet ver van de grens met Syrië. Later maandagochtend vond een tweede aardbeving plaats. Het dodental is inmiddels opgelopen tot meer dan 7000. ",Nederlands reddingsteam heeft basiskamp in rampgebied opgezet,78b404ea43cf83861bc509abd47434a7
6,"Schaatsbond KNSB denkt later deze week mogelijk een marathon op natuurijs te kunnen organiseren. ""We staan in de startblokken, maar de weersverwachtingen moeten nog wel uitkomen"", zegt Willem Hut, de competitieleider van het marathonschaatsen.  De afgelopen dagen was er juist een beetje dooi. ""Dat voelde niet lekker"", aldus Hut. De komende dagen wordt echter weer vorst verwacht. De competitieleider van schaatsbond KNSB heeft goede hoop dat er deze week een marathon verreden kan worden.  IJsverenigingen die een marathon willen organiseren, moeten zich eerst aanmelden bij de KNSB. De bond besluit dan tot een ijsmeting. Daarna kan het snel gaan. ""Als we dinsdag een baan ter goedkeuring aangeboden krijgen, kan er woensdag al een wedstrijd georganiseerd worden."" En misschien donderdag ook nog, denkt Hut. De marathonschaatsers staan volgens hem klaar voor als er wedstrijden op natuurijs mogelijk zijn.  Vijf verenigingen proberen om de eerste marathon op natuurijs te organiseren. Dat zijn Noordlaren, Haaksbergen, Burgum, Nieuw-Buinen en Puttershoek. Normaal gesproken is ijsvereniging Nieuw-Amsterdam in Veenoord ook in de race, maar daar is vanwege een verbouwing van de baan een wedstrijd niet mogelijk. ""We hebben wat meer geografische spreiding"", stelt de competitieleider tevreden vast, met ook het Friese Burgum en Puttershoek in Zuid-Holland als kandidaten. ""Dat is ook goed voor als er bijvoorbeeld in het noorden van Nederland sneeuw is gevallen."" Hut zou ook nog graag een locatie in Noord-Brabant willen. ""Ik zag dat het daar steenkoud is geweest."" ",Schaatsbond verwacht deze week eerste marathon op natuurijs,b20334057ba403e5d87f4fba77826b25
7,"Het kan nog wel even duren voordat de muziekrechten van Pink Floyd zijn verkocht. Volgens de Financial Times (FT) is de verkoop stopgezet, onder meer door ruzie tussen de (oud-)bandleden van de rockband.  De Engelse band was van plan de muziekrechten voor een bedrag van 500 miljoen dollar te verkopen. Volgens de FT waren er al grote namen onder de geïnteresseerden, waaronder Blackstone, Sony Music en Warner Music. Inmiddels heeft de verkoop al een aantal maanden vertraging opgelopen vanwege meningsverschillen over onder meer belastingregelingen.  Daarbij komt dat Roger Waters in de Verenigde Staten woont en de overige bandleden in het Verenigd Koninkrijk. Bovendien heeft Waters al jarenlang een moeizame relatie met David Gilmour. Een bieder vertelt dat die gespannen relatie het ""onmogelijk"" maakt een deal te sluiten. Een ander betwijfelt of het ooit nog mogelijk is om tot een overeenkomst te komen, aangezien de bandleden voortdurend zonder aanleiding ruzie maken.  De afgelopen jaren verkochten meer grote artiesten hun muziekrechten, zoals Neil Young, Sting en Bob Dylan. Daar verdienden ze honderden miljoenen dollars aan.  Pink Floyd werd in 1965 opgericht. De band had zijn grootste succes met het album Dark Side of the Moon, dat in 1973 uitkwam. Nummers als Money en Another Brick in the Wall behoren tot de grootste hits. ",Krant: verkoop muziekrechten Pink Floyd vastgelopen door ruzie,0f5c43ce615627a0b913a2771a5d91d5
8,"De nieuwe Braziliaanse president Luiz Inácio Lula da Silva heeft in zijn inaugurele rede in het parlement beklemtoond geen wraak te zoeken, maar te willen regeren voor alle Brazilianen, ook die niet voor hem hebben gestemd.  Dat was bijna de helft van electoraat volgens de officiële uitslagen. Het land is politiek gepolariseerd en de presidentiële sjerp werd zondag níet door zijn voorganger, Jair Bolsonaro, omgehangen. Normaal doet de scheidende president dat voor de nieuwe. Maar Bolsonaro is vrijdag naar Florida uitgeweken en heeft nooit zijn nederlaag in de verkiezingen in oktober erkend.  Lula da Silva dreigde indirect met processen tegen Bolsonaro, omdat hij onwaarheden over het coronavirus zou hebben verspreid en daardoor strafrechtelijk vervolgd kan worden. Bolsonaro was een fervent tegenstander van met name lockdowns. Hij beschouwde het coronavirus als een griep, niet ernstig genoeg om de economie te verlammen met draconische maatregelen. In zijn ogen kon de bevolking, die voor een groot gedeelte afhankelijk is van inkomsten die niet in een arbeidsovereenkomst zijn vastgelegd, niet worden opgesloten en niet in hun mobiliteit zo ver beperkt worden dat het middel dan erger dan de kwaal zou worden.  Het merendeel van werknemers in Latijns-Amerika is afhankelijk van vaak meerdere baantjes per dag en heeft geen vangnet. Thuis blijven betekent geen inkomsten en geen eten.  Lula da Silva zei, zonder de naam van zijn voorganger te noemen, dat zij die fouten hebben gemaakt voor hun falen ter verantwoording worden geroepen. Volgens cijfers van de Braziliaanse autoriteiten zijn 680.000 Brazilianen overleden met het coronavirus in de gelederen. Lula da Silva sprak van ""volkerenmoord"". De grootste problemen met de bestrijding van het virus en de behandeling van patiënten waren in Brazilië in het noordoosten, sinds jaar en dag het bolwerk van de partij van Lula da Silva, de Arbeiderspartij (PT). ",Nieuwe president Brazilië dreigt voorganger over corona-aanpak,51f09d5656cf813dadcd16f0eaf388a7
9,"Een Chinese vrouw die zich zwanger voordeed om in haar nepbuik computerchips te smokkelen, is aangehouden toen ze vanuit Macau terug wilde haar eigen land in. Ze had 202 chips en negen smartphones verstopt in het neplichaamsdeel. In China is sinds 2020 een zwarte markt voor computerchips ontstaan doordat er grote leveringsproblemen van die onderdelen waren ontstaan.  Behalve de chiptekorten spelen ook Amerikaanse sancties mee. Die zorgen ervoor dat het moeilijker is om moderne chips en de apparatuur om die te maken aan China te verkopen. Toch wordt er in het illegale circuit ook fors betaald voor oudere chips, soms tot wel 500 keer zoveel als de normale prijs. Bedrijven willen dat betalen omdat ze dan door kunnen met de productie.  Behalve chips worden er ook veel smartphones China in gesmokkeld, met name iPhones. De mobiele telefoon van Apple is in Hongkong en Macau veel goedkoper dan in China zelf, omdat in de voormalige kolonies van Groot-Brittannië en Portugal geen invoerbelastingen worden geheven. ",Nep-zwangere Chinese smokkelt computerchips in 'buik',020092a57bcc3ebdc3dbb8108087b8b8
